sector,year,total_funding
Prepaid Mobile Bill Manager App,2015.0,0.0
Preventive Healthcare Services,2015.0,350000.0
Preventive healthcare services,2015.0,0.0
Price Comparison,2015.0,165000.0
Private Cloud Networks SAAS platform,2015.0,0.0
Private Coaching Centers,2015.0,1500000.0
Private Jet Bookings Marketplace,2015.0,0.0
Private Jet/ Helicopter Marketplace,2015.0,0.0
Private Label Apparel sales,2015.0,300000.0
Private Label lingerie Ecommerce,2015.0,5000000.0
Private label Fashion eTailer,2015.0,75000000.0
Probiotic Technology Products Manufacturer,2015.0,550000.0
Product Customization Platform,2015.0,0.0
Product Discovery & comparison App,2015.0,0.0
Product Learning platform,2015.0,0.0
Product discovery & recommendation platform,2015.0,2000000.0
Professional Custom creators Marketplace,2015.0,250000.0
Professional Health Services Platform,2015.0,350000.0
Professional Service Appointment booking service,2015.0,400000.0
Professional Services Marketplace,2015.0,0.0
Professionals & Project Search Marketplace,2015.0,500000.0
Psychometric Test Online Software,2015.0,0.0
Public Commute helper App,2015.0,450000.0
Publishing,2018.0,4300000.0
QSR & Online delivery portal,2015.0,500000.0
QSR Chain,2015.0,30000000.0
QSR Restaurant Chain,2015.0,160000.0
Quick Service Restaurant & Online Delivery,2015.0,385000.0
Quick Service Restaurant Chain,2015.0,1600000.0
Rail Ticket Confirmation predictor,2015.0,0.0
Railways Information Mobile app,2015.0,0.0
Raw Meat & Ready to eat food etailer,2015.0,77000.0
Ready to cook packaged Foods,2015.0,6000000.0
Real Estate,2016.0,2500000.0
Real Estate,2017.0,23000000.0
Real Estate,2018.0,4000000.0
Real Estate Advisory,2015.0,6000000.0
Real Estate Broker Platform App,2015.0,350000.0
Real Estate Broker network App,2015.0,1000000.0
Real Estate Insights platform,2015.0,0.0
Real Estate Intelligence Platform,2015.0,3000000.0
Real Estate Mobile CRM,2015.0,2950000.0
Real Estate Rating & Analysis,2015.0,5000000.0
Real Estate focused Tech platform,2015.0,0.0
Real-Time stock data platform,2015.0,235000.0
Reality,2016.0,1000000.0
Renewable energy solutions,2015.0,500000.0
Rental Accommodation Search platform,2015.0,10000000.0
Rental Accomodation finder,2015.0,0.0
Residential Rental management platform,2015.0,0.0
Restaurant Discount app,2015.0,400000.0
Restaurant Management Platform,2015.0,350000.0
Restaurant Ratings & Reviews platform,2015.0,60000000.0
Restaurant Reservation Platform,2015.0,3000000.0
Restaurant Reviews,2015.0,25000000.0
Restaurant customer engagement platform,2015.0,2300000.0
Restaurant reservation app,2015.0,0.0
Retail,2019.0,1600000.0
Reward points mobile app,2015.0,0.0
Ride Sharing platform,2015.0,190000.0
Ridesharing Mobile app,2015.0,130000.0
Robotic Program learning,2015.0,250000.0
Rooftop Solar Plants,2015.0,0.0
SaaS,2019.0,166000000.0
SaaS product intelligence platform,2015.0,15000000.0
"SaaS, Ecommerce",2018.0,3500000.0
Saas,2019.0,50000000.0
Sales & Productivity Software,2015.0,12500000.0
Science Learning App,2015.0,0.0
Scientific Horoscope Online Assistance platform,2015.0,0.0
Self Driven Car rental,2015.0,0.0
Self Driven Rental Car Platform,2015.0,2000000.0
Self-Storage Spaces,2015.0,0.0
Self-driven Car rental,2015.0,5000000.0
Self-driven vehicle rental,2015.0,11000000.0
Selfie Mobile App,2015.0,0.0
Service-On-Demand Mobile App,2015.0,0.0
Services,2018.0,500000.0
Services,2019.0,3400000.0
Services Platform,2018.0,50000000.0
Skill Training & Placement Platform,2015.0,0.0
Skill Training Startup,2015.0,1500000.0
Small Business Financing (NBFC),2015.0,40000000.0
Smart Report Cards for Schools,2015.0,0.0
Smart Safety Wearable Devices,2015.0,250000.0
Smartwatch Maker,2015.0,500000.0
Social Fitness platform,2015.0,0.0
Social Learning Platform,2015.0,0.0
Social Media,2018.0,2400000.0
Social Media,2019.0,3591375.0
Social Network,2018.0,0.0
Social Network for Artists,2015.0,120000.0
Social platform for traders and investors,2015.0,100000.0
Software,2018.0,29500000.0
Software,2019.0,150000000.0
Solar Power Solutions company,2015.0,2000000.0
Spa & Salon Management Software,2015.0,6000000.0
Spam Call block App,2015.0,0.0
Speech Recognition Solutions,2015.0,0.0
Splitting Bills Mobile App,2015.0,0.0
Sports Education Platform,2015.0,2000000.0
Sports Management & Physical Education Business,2015.0,10000000.0
Startup Analytics platform,2015.0,3500000.0
Startup Focused Online Publisher,2015.0,0.0
Startup Funding Marketplace,2015.0,0.0
Startup funding platform,2015.0,10000000.0
Stock Market Portal,2015.0,0.0
Storytelling,2017.0,0.0
Structural & Civil Engg Service Automation,2015.0,1000000.0
Study Material Marketplace,2015.0,205000.0
Subscription based Online Grocery platform,2015.0,100000.0
Supply Chain & Logistics Solutions,2015.0,10000000.0
Sustainable Agri-inputs Firm,2015.0,0.0
Talent Exchange & Talent Services Marketplace,2015.0,0.0
Talent platform for Fashion professionals,2015.0,0.0
Taxi Rental platform,2015.0,500000.0
Teacher empowerment platform,2015.0,0.0
Tech,2019.0,21750000.0
Tech Platform for property brokers,2015.0,785000.0
Tech Recruitment platform,2015.0,7500000.0
Tech enabled AC bus service,2015.0,0.0
Tech enabled logistics platform,2015.0,500000.0
Tech-enabled Rural Healthcare Services,2015.0,0.0
Tech-enabled learning,2015.0,0.0
Technology,2016.0,682513000.0
Technology,2017.0,981921730.0
Technology,2018.0,536273200.0
Technology,2019.0,29000000.0
Tele-Shopping / eCommerce,2015.0,21500000.0
Test Automation SAAS platform,2015.0,600000.0
Transport,2018.0,1000000.0
Transport,2019.0,151000000.0
Transportation,2019.0,3908584000.0
Transportation,2020.0,8048394.0
Transportation & Logistics Platform,2015.0,5600000.0
Travel Destination Discovery platform,2015.0,100000.0
Travel Entertainment,2015.0,2200000.0
Travel Guide Mobile App,2015.0,0.0
Travel Search Engine,2015.0,0.0
Travel Tech,2015.0,5000000.0
Travel Tech,2018.0,800000.0
Travel community platform,2015.0,0.0
Travel information portal,2015.0,15000000.0
Truck Aggregator & Logistics service,2015.0,0.0
Trucking Logistic Operations,2015.0,10000000.0
Two-Wheeler Taxi Service,2015.0,1450000.0
Used Bikes Marketplace,2015.0,15000000.0
Used Car Marketplace,2015.0,5500000.0
Used Gadgets Buy / Refurbishing,2015.0,1000000.0
Used Vehicle Marketplace,2015.0,16000000.0
Used Vehicles Marketplace,2015.0,15000000.0
Used two-wheeler Marketplace,2015.0,0.0
User Engagment & Analytics platform,2015.0,9600000.0
Video,2019.0,2000000.0
Video Advertisement Platform,2015.0,500000.0
Video Games,2019.0,1300000.0
Video Intelligence Platform,2015.0,1000000.0
Video Streaming,2015.0,120000.0
Viral Content web Platform,2015.0,4000000.0
Virtual Health consultation app,2015.0,1200000.0
Virtual Reality Headset creator,2015.0,180000.0
Virtual Reality activity based learning platform,2015.0,200000.0
Visual Blogging platform,2015.0,600000.0
Voice Call incentivization mobile app,2015.0,0.0
Waste Management Service,2019.0,26868600.0
Waste Management Solutions,2015.0,160000.0
Wealth Management Platform,2015.0,1500000.0
Web Content Publishing,2015.0,200000.0
Wedding Planning Platform,2015.0,410000.0
Wedding Venues & Vendors Marketplace,2015.0,1000000.0
Weight Management Service,2015.0,0.0
WiFi \xe2\x80\x93 first Cloud communication platform,2015.0,0.0
Women Ethnic Wear\\xc2\\xa0 Online Marketplace,2015.0,34000000.0
Women Lifestyle Marketplace,2015.0,0.0
Womens Fashion Wear Portal,2015.0,0.0
Workforce Management Software,2015.0,550000.0
\\xc2\\xa0Casual Dining restaurant Chain,2015.0,0.0
\\xc2\\xa0Contact Center Software Platform,2015.0,0.0
\\xc2\\xa0Fashion Info Aggregator App,2015.0,0.0
\\xc2\\xa0News Aggregator mobile app,2015.0,0.0
\\xc2\\xa0Online Grocery Delivery,2015.0,0.0
\\xc2\\xa0Online Jewellery Store,2015.0,0.0
\\xc2\\xa0Online Study Notes Marketplace,2015.0,0.0
\\xc2\\xa0Pre-School Chain,2015.0,0.0
\\xc2\\xa0Premium Loyalty Rewards Point Management,2015.0,0.0
affordable Personal Healthcare Products,2015.0,0.0
anonymous bulletin board app,2015.0,0.0
character merchandize sales platform,2015.0,540000.0
conversational commerce mobile app,2015.0,2500000.0
coupons and cashback aggregator app,2015.0,125000.0
eCommece,2017.0,1000000.0
eCommerce,2015.0,10000000.0
eCommerce,2016.0,784943000.0
eCommerce,2017.0,4207590000.0
eCommerce Product Search Engine,2015.0,150000.0
eCommerce platform,2015.0,50000000.0
eCommerce returns etailer,2015.0,0.0
eLearning platform,2015.0,0.0
ecommerce,2015.0,80000.0
ecommerce,2016.0,2000000.0
ecommerce,2017.0,0.0
ecommerce related software product platform,2015.0,0.0
engineering services company,2015.0,20000000.0
extra curricular activities marketplace app,2015.0,0.0
fund raising platform for startups,2015.0,650000.0
global community for travellers,2015.0,0.0
healthcare,2016.0,37000000.0
hotel booking app,2015.0,500000.0
hyperlocal delivery platform,2015.0,0.0
hyperlocal online Services platform,2015.0,0.0
mobile payment software platform,2015.0,1000000.0
mobile social network,2015.0,250000.0
mobile-only tasks marketplace,2015.0,15000000.0
multi-sport program for preschoolers,2015.0,0.0
on-Demand Washing & Dry-Cleaning,2015.0,100000.0
on-demand delivery service,2015.0,310000.0
on-demand healthcare marketplace,2015.0,300000.0
on-demand home beauty and wellness portal,2015.0,0.0
online meal-booking platform for train travelers,2015.0,0.0
online recipe sharing platform,2015.0,0.0
online tiffin service aggregator,2015.0,0.0
pre-owned Luxury online apparel seller,2015.0,0.0
pre-used apparel shopping mobile app,2015.0,1000000.0
pre-used luxury item Marketplace,2015.0,0.0
proximity marketing & Mobile Advertising platform,2015.0,80000.0
residential rental management platform,2015.0,640000.0
solar products and services marketplace,2015.0,0.0
us ticketing and fleet management platform,2015.0,0.0
usiness expense management,2015.0,500000.0
"virtual reality, 3d simulation and stereoscopic products",2015.0,800000.0
visual search and discovery platform,2015.0,1000000.0
