sector,total_funding,deal_count
Hyperlocal Online Home services provider,0.0,1
Hyperlocal On-Demand Household Services platform,0.0,1
Social Network,0.0,1
Social Learning Platform,0.0,1
Social Fitness platform,0.0,1
Smart Report Cards for Schools,0.0,1
Skill Training & Placement Platform,0.0,1
Service-On-Demand Mobile App,0.0,1
Selfie Mobile App,0.0,1
Talent platform for Fashion professionals,0.0,1
Talent Exchange & Talent Services Marketplace,0.0,1
Sustainable Agri-inputs Firm,0.0,1
Hyperlocal Logistics Service Provider,0.0,1
Hyperlocal Goods marketplace,0.0,1
Storytelling,0.0,1
Stock Market Portal,0.0,1
Startup Funding Marketplace,0.0,1
Startup Focused Online Publisher,0.0,1
Splitting Bills Mobile App,0.0,1
Speech Recognition Solutions,0.0,1
Business IT Intelligence Services,0.0,1
Furniture and appliances rental platform,0.0,1
Online Gourmet Food Marketplace,0.0,1
Food discovery & table booking app,0.0,1
Ed-Tech Platform,0.0,1
Food Discovery App,0.0,1
Food Delivery platform,0.0,1
Mobile Application Developer,0.0,1
Machine Learning Platform,0.0,1
Big Data Analytics Platform,0.0,1
Big Data & predictive Analysis Platform,0.0,1
Beauty services Mobile Marketplace,0.0,1
Beauty and Wellness platform,0.0,1
Beauty and Wellness Platform,0.0,1
Beauty & Wellness Services Marketplace,0.0,1
Beauty & Wellness Mobile App,0.0,1
Beauty & Lifestyle platform,0.0,1
Tech-enabled learning,0.0,1
Tech-enabled Rural Healthcare Services,0.0,1
Tech enabled AC bus service,0.0,1
Teacher empowerment platform,0.0,1
Ecommerce Product recommendation platform,0.0,1
Easy Business Loans platform,0.0,1
Used two-wheeler Marketplace,0.0,1
Truck Aggregator & Logistics service,0.0,1
Travel community platform,0.0,1
Travel Search Engine,0.0,1
Travel Guide Mobile App,0.0,1
ECommerce platform solutions,0.0,1
BFSI,0.0,1
B2B marketplace for industrial goods,0.0,1
B2B logistics delivery platform,0.0,1
Automotive Services platform,0.0,1
\\xc2\\xa0Online Grocery Delivery,0.0,1
\\xc2\\xa0News Aggregator mobile app,0.0,1
\\xc2\\xa0Fashion Info Aggregator App,0.0,1
\\xc2\\xa0Contact Center Software Platform,0.0,1
\\xc2\\xa0Casual Dining restaurant Chain,0.0,1
Womens Fashion Wear Portal,0.0,1
Hyperlocal Delivery Platform,0.0,1
ECommerce Website Creation SAAS platform,0.0,1
anonymous bulletin board app,0.0,1
affordable Personal Healthcare Products,0.0,1
ECommerce Data Analytics Platform,0.0,1
multi-sport program for preschoolers,0.0,1
hyperlocal online Services platform,0.0,1
hyperlocal delivery platform,0.0,1
global community for travellers,0.0,1
extra curricular activities marketplace app,0.0,1
Online Furniture ecommerce,0.0,1
360-degree view creating platform,0.0,1
Algorithmic Match Making Platform,0.0,1
\\xc2\\xa0Online Study Notes Marketplace,0.0,1
\\xc2\\xa0Online Jewellery Store,0.0,1
Artist / Designer Marketplace,0.0,1
IOT Energy Management Analytics platform,0.0,1
WiFi \xe2\x80\x93 first Cloud communication platform,0.0,1
Weight Management Service,0.0,1
Interface development platform for Government officials,0.0,2
Online Media Publication,0.0,1
Voice Call incentivization mobile app,0.0,1
App based Fitness coaching,0.0,1
Activity Based Social Network,0.0,1
Gym Discovery platform,0.0,1
Online Marketplace for Industrial Goods,0.0,1
Grocery retail Mobile app,0.0,1
Gourmet Meals Delivery,0.0,1
Gourmet Food Discovery & Delivery platform,0.0,1
\\xc2\\xa0Warranty Programs Service Administration,0.0,1
\\xc2\\xa0Premium Loyalty Rewards Point Management,0.0,1
AI,0.0,1
